name,time,pressure1,pressure2,pressure3,pressure4,temperature1,temperature2,temperature3,temperature4,temperature5
test12,2024-03-23T11:10:22.383574124Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:28.075987817Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:30.621587681Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:31.65634045Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:10:32.388757897Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:38.295675942Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:40.621556616Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:41.721743949Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:10:42.385885885Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:48.505621772Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:50.623645005Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:51.785034067Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:10:52.392654933Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:58.719774264Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:00.624570278Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:01.850636452Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:02.402153751Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:08.933464352Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:10.627082163Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:11.908491877Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:12.38649352Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:19.144851957Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:20.626196438Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:21.979633036Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:22.389057375Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:29.357699036Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:30.626378596Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:32.043353864Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:32.389138363Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:39.569400725Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:40.629847116Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:42.106563947Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:42.39017037Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:49.78279357Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:11:50.630693619Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:52.17113661Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:11:52.392576265Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:11:59.996670975Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:12:00.630174353Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:02.23577255Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:12:02.392372601Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:10.202905937Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:12:10.633379229Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:12.297401072Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:12:12.392433475Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:20.41700385Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:12:20.632094942Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:22.362341974Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:12:22.394175238Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:30.634946112Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
